Time,AccelerationX [m/s2],AccelerationY [m/s2],AccelerationZ [m/s2],Celsius [deg]
14:53:56,-0.06,-0.56,-9.91,24.5
14:53:56,-0.10,-0.74,-9.88,24.5
14:53:56,-0.11,-0.56,-10.07,24.5
14:53:56,-0.11,-0.61,-10.01,24.5
14:53:56,-0.11,-0.56,-9.88,24.5
14:53:56,-0.06,-0.71,-9.93,24.5
14:53:56,-0.21,-0.61,-9.94,24.5
14:53:56,-0.11,-0.60,-9.90,24.5
14:53:56,-0.09,-0.64,-9.88,24.5
14:53:56,-0.02,-0.64,-10.06,24.5
14:53:56,-0.07,-0.63,-9.97,24.5
14:53:56,-0.03,-0.51,-9.93,24.5
14:53:56,-0.05,-0.68,-9.96,24.5
14:53:56,-0.14,-0.69,-9.83,24.5
14:53:56,-0.14,-0.61,-9.89,24.5
14:53:56,-0.17,-0.63,-9.99,24.5
14:53:56,-0.06,-0.68,-9.91,24.5
14:53:56,-0.05,-0.57,-9.89,24.5
14:53:56,-0.16,-0.62,-9.91,24.5
14:53:56,-0.15,-0.63,-10.07,24.5
14:53:56,-0.11,-0.62,-9.92,24.5
14:53:56,-0.02,-0.58,-10.01,24.5
14:53:56,-0.03,-0.65,-9.93,24.5
14:53:56,-0.07,-0.67,-9.97,24.5
14:53:56,-0.13,-0.69,-9.95,24.5
14:53:56,-0.13,-0.59,-9.97,24.5
14:53:56,-0.13,-0.56,-9.94,24.5
14:53:56,-0.08,-0.51,-9.99,24.5
14:53:56,-0.11,-0.75,-9.97,24.5
14:53:56,-0.10,-0.64,-9.96,24.5
14:53:56,0.08,-0.67,-9.91,24.5
14:53:56,-0.09,-0.70,-9.90,24.5
14:53:56,-0.12,-0.61,-10.01,24.5
14:53:56,-0.08,-0.51,-10.04,24.5
14:53:56,-0.04,-0.66,-9.93,24.5
14:53:56,-0.01,-0.68,-9.96,24.5
14:53:56,-0.13,-0.64,-9.96,24.5
14:53:56,0.03,-0.63,-9.92,24.5
14:53:56,-0.05,-0.60,-9.86,24.5
14:53:56,-0.09,-0.63,-10.06,24.5
14:53:56,-0.08,-0.64,-9.95,24.5
14:53:56,-0.04,-0.59,-9.87,24.5
14:53:56,-0.10,-0.81,-10.02,24.5
14:53:56,-0.05,-0.68,-9.93,24.5
14:53:56,-0.07,-0.67,-10.02,24.5
14:53:56,-0.02,-0.58,-9.95,24.5
14:53:56,-0.13,-0.56,-9.90,24.5
14:53:56,-0.17,-0.71,-9.86,24.5
14:53:56,-0.13,-0.64,-9.86,24.5
14:53:56,-0.16,-0.57,-9.96,24.5
14:53:56,0.05,-0.63,-9.95,24.5
14:53:56,-0.07,-0.64,-10.04,24.5
14:53:56,-0.06,-0.77,-9.89,24.5
14:53:56,-0.03,-0.54,-9.77,24.5
14:53:56,-0.13,-0.69,-9.92,24.5
14:53:56,-0.02,-0.59,-9.91,24.5
14:53:56,-0.05,-0.56,-9.91,24.5
14:53:56,-0.08,-0.56,-9.88,24.5
14:53:56,-0.07,-0.65,-9.86,24.5
14:53:56,-0.03,-0.57,-9.95,24.5
14:53:56,-0.14,-0.56,-9.96,24.5
14:53:56,-0.07,-0.44,-9.85,24.5
14:53:56,-0.12,-0.61,-9.88,24.5
14:53:56,-0.11,-0.60,-9.93,24.5
14:53:57,-0.14,-0.61,-9.95,24.5
14:53:57,-0.10,-0.67,-9.92,24.5
14:53:57,-0.11,-0.61,-9.88,24.5
14:53:57,-0.14,-0.63,-9.96,24.5
14:53:57,-0.02,-0.58,-9.93,24.5
14:53:57,-0.08,-0.62,-9.93,24.5
14:53:57,-0.08,-0.63,-9.96,24.5
14:53:57,-0.03,-0.59,-9.90,24.5
14:53:57,-0.11,-0.59,-9.97,24.5
14:53:57,-0.08,-0.58,-9.91,24.5
14:53:57,-0.13,-0.63,-9.96,24.5
14:53:57,-0.11,-0.54,-9.83,24.5
14:53:57,-0.04,-0.58,-9.97,24.5
14:53:57,-0.04,-0.57,-9.89,24.5
14:53:57,-0.13,-0.64,-9.96,24.5
14:53:57,0.04,-0.59,-9.95,24.5
14:53:57,-0.01,-0.61,-9.85,24.5
14:53:57,-0.09,-0.53,-10.00,24.5
14:53:57,-0.21,-0.65,-9.92,24.5
14:53:57,-0.17,-0.65,-9.89,24.5
14:53:57,-0.07,-0.56,-9.89,24.5
14:53:57,-0.03,-0.62,-10.06,24.5
14:53:57,-0.10,-0.60,-9.91,24.5
14:53:57,-0.13,-0.62,-9.87,24.5
